"BalanceCurrentAccount","DurationMonths","PaymentPreviousCredits","PurposeCredit","AmountCredit","ValueSavingsOrStocks","InCurrentEmployment","InstallmentAvailableIncome","GenderMaritalStatus","FurtherDebtorsGuarantors","LivingCurrentHousehold","MostValuableAssets","Age","FurtherRunningCredits","TypeApartment","NumberPreviousCreditsThisBank","Occupation","NumberPersonsEntitledMmaintainance","Telephone","ForeignWorker","Creditability"
"no balance",16.0,"paid back previous credits at this bank","other",1175.0,"no savings","unemployed","between 25 and 35","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",68.0,"no further running credits","owner","4 or 5","unemployed/unskilled with no permaant residence","3 and more","yes","yes","good"
"no running account",27.0,"paid back previous credits at this bank","retraining",2442.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",43.0,"at department store or mail order house","rented","6 or more","executive/self-employed/higher civil servant","0 to 2","yes","yes","good"
"no balance",15.0,"no previous credits or paid back","household appliances",1308.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",38.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
"no balance",48.0,"hesistant payment of previous credits","retraining",3844.0,"less than 100 DM","between 4 and 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",34.0,"no further running credits","owner","one","unskilled with permanant residence","0 to 2","no","yes","bad"
">=200 DM",24.0,"paid back previous credits at this bank","items of furniture",1851.0,"no savings","between 4 and 7 years","less than 20","male:married/widowed","guarantor","between 1 and 4 years","savings contract with a building society/Life insurance",33.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",12.0,"no previous credits or paid back","vacation",902.0,"no savings","between 4 and 7 years","less than 20","male:married/widowed","none","greater than 7 years","car/other",21.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",36.0,"no previous credits or paid back","new car",4686.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","ownership of house or land",32.0,"no further running credits","owner","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",15.0,"no previous credits or paid back","new car",4657.0,"no savings","between 1 and 4 years","between 20 and 25","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",30.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",27.0,"hesistant payment of previous credits","retraining",8318.0,"no savings","greater than 7 years","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","ownership of house or land",42.0,"at department store or mail order house","owner","2 or 3","executive/self-employed/higher civil servant","3 and more","yes","yes","bad"
">=200 DM",27.0,"paid back previous credits at this bank","used car",4526.0,"between 500 and 1000 DM","less than 1 year","less than 20","male:single","none","between 1 and 4 years","no assets",32.0,"at department store or mail order house","rented","2 or 3","unskilled with permanant residence","0 to 2","yes","yes","good"
"no running account",48.0,"no previous credits or paid back","other",3931.0,"no savings","between 4 and 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",46.0,"no further running credits","owner","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","bad"
"no balance",24.0,"no problems with current credits at this bank","items of furniture",1553.0,"less than 100 DM","between 4 and 7 years","between 20 and 25","female:divorced/living apart/married","none","between 1 and 4 years","car/other",23.0,"no further running credits","free apartment","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",9.0,"no previous credits or paid back","other",3195.0,"greater than 1000 DM","between 1 and 4 years","greater than 35","female:divorced/living apart/married","none","between 1 and 4 years","no assets",33.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
"<= 200 DM",36.0,"no previous credits or paid back","items of furniture",4473.0,"no savings","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",31.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",9.0,"problematic running accounts","other",1437.0,"less than 100 DM","between 4 and 7 years","between 25 and 35","male:single","none","between 4 and 7 years","ownership of house or land",29.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",24.0,"no previous credits or paid back","other",1469.0,"less than 100 DM","greater than 7 years","less than 20","male:married/widowed","none","greater than 7 years","no assets",41.0,"no further running credits","free apartment","one","unskilled with permanant residence","3 and more","no","yes","good"
"no balance",20.0,"no previous credits or paid back","new car",6468.0,"greater than 1000 DM","unemployed","greater than 35","male:divorced/living apart","none","greater than 7 years","no assets",60.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no balance",30.0,"hesistant payment of previous credits","retraining",4280.0,"less than 100 DM","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",26.0,"no further running credits","free apartment","2 or 3","unskilled with permanant residence","3 and more","no","yes","bad"
">=200 DM",24.0,"no previous credits or paid back","used car",2835.0,"between 100 and 500 DM","greater than 7 years","between 20 and 25","male:single","none","greater than 7 years","car/other",53.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",48.0,"no previous credits or paid back","repair",7476.0,"no savings","between 4 and 7 years","less than 20","male:single","none","less than 1 year","ownership of house or land",50.0,"no further running credits","owner","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no running account",18.0,"no previous credits or paid back","items of furniture",2600.0,"no savings","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",65.0,"no further running credits","owner","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
